Ley,Año,Asunto HCDN,Asunto Senado,URL,Nombre,Sumario
26522,2009,992,1331,http://www.infoleg.gob.ar/infolegInternet/anexos/155000-159999/158649/norma.htm,Ley de Medios,"REGULANSE LOS SERVICIOS DE COMUNICACION AUDIOVISUAL EN TODO EL AMBITO TERRITORIAL DE LA REPUBLICA ARGENTINA. CUMPLIDOS LOS PLAZOS ESTABLECIDOS POR EL ARTICULO 156, DEROGANSE LA LEY 22.285, SUS NORMAS POSTERIORES DICTADAS EN CONSECUENCIA, EL ARTICULO 65 DE LA LEY 23.696, LOS DECRETOS 1656/92, 1062/98 Y 1005/99, LOS ARTICULOS 4º, 6º, 7º, 8º Y 9º DEL DECRETO 94/01, LOS ARTICULOS 10 Y 11 DEL DECRETO 614/01 Y LOS DECRETOS 2368/02, 1214/03 Y TODA OTRA NORMA QUE SE OPONGA A LA PRESENTE."
26571,2009,1056,1389,http://www.infoleg.gob.ar/infolegInternet/anexos/160000-164999/161453/norma.htm,PASO y financiamiento a partidos políticos,"LEY DE DEMOCRATIZACION DE LA REPRESENTACION POLITICA, LA TRANSPARENCIA Y LA EQUIDAD ELECTORAL. MODIFICACIONES A LAS LEYES 23.298, 26.215 Y 19.945 (CODIGO ELECTORAL)."
26618,2010,1095,1472,http://www.infoleg.gob.ar/infolegInternet/anexos/165000-169999/169608/norma.htm,Matrimonio igualitario,MODIFICACION DEL CODIGO CIVIL Y DE LAS LEYES 26.413 Y 18.248.
26639,2010,1117,1506,http://www.infoleg.gob.ar/infolegInternet/anexos/170000-174999/174117/norma.htm,Ley de protección de glaciares,REGIMEN DE PRESUPUESTOS MINIMOS PARA LA PRESERVACION DE LOS GLACIARES Y DEL AMBIENTE PERIGLACIAL.
26734,2011,1193,1666,http://www.infoleg.gob.ar/infolegInternet/anexos/190000-194999/192137/norma.htm,Ley Antiterrorista,MODIFICASE EL CODIGO PENAL Y EL CODIGO PROCESAL PENAL.
26739,2012,1198,1684,http://www.infoleg.gob.ar/infolegInternet/anexos/195000-199999/195621/norma.htm,Reforma de la Carta Orgánica del Banco Central,MODIFICASE LA CARTA ORGANICA.
26740,2012,1200,1680,http://www.infoleg.gob.ar/infolegInternet/anexos/195000-199999/195894/norma.htm,Transferencia del subte y premetro a CABA,RATIFICASE LA TRANSFERENCIA A LA CIUDAD AUTONOMA DE BUENOS AIRES DE LOS SERVIVICIOS DE TRANSPORTE SUBTERRANEO Y PREMETRO.
26741,2012,1217,1685,http://www.infoleg.gob.ar/infolegInternet/anexos/195000-199999/196894/norma.htm,Expropiación del 51% de YPF,DECLARASE DE INTERES PUBLICO NACIONAL EL LOGRO DEL AUTOABASTECIMIENTO DE HIDROCARBUROS. CREASE EL CONSEJO FEDERAL DE HIDROCARBUROS. DECLARASE DE UTILIDAD PUBLICA Y SUJETO A EXPROPIACION EL 51% DEL PATRIMONIO DE YPF S.A. Y REPSOL YPF GAS SA.
26742,2012,1178,1690,http://www.infoleg.gob.ar/infolegInternet/anexos/195000-199999/197859/norma.htm,Ley de Muerte Digna,MODIFICASE LA LEY N° 26.529 QUE ESTABLECIO LOS DERECHOS DEL PACIENTE EN SU RELACION CON LOS PROFESIONALES E INSTITUCIONES DE LA SALUD.
26743,2012,1182,1691,http://www.infoleg.gob.ar/infolegInternet/anexos/195000-199999/197860/norma.htm,Derecho a la identidad de género,ESTABLECESE EL DERECHO A LA IDENTIDAD DE GENERO DE LAS PERSONAS. DEROGASE EL INCISO 4° DEL ARTICULO 19 DE LA LEY 17.132.
